"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R14","3-0603","107.48mil","998.794mil","107.481mil","998.795mil","140.944mil","998.794mil","B","180.00",""
"R15","3-0603","1619mil","2624mil","1619mil","2624mil","1652.464mil","2624mil","T","180.00",""
"R16","3-0603","228mil","922mil","228mil","922mil","194.536mil","922mil","B","360.00",""
"R17","3-0603","235.844mil","1019.418mil","235.843mil","1019.417mil","235.844mil","1052.882mil","B","270.00",""
"R18","3-0603","1419.37mil","2579.378mil","1419.37mil","2579.378mil","1452.834mil","2579.378mil","T","180.00",""
"R19","3-0603","1810.646mil","2442.644mil","1810.646mil","2442.646mil","1777.182mil","2442.644mil","T","360.00",""
"R20","3-0603","1967.378mil","2759.576mil","1967.378mil","2759.575mil","1967.378mil","2726.112mil","T","90.00",""
"R21","3-0603","3266mil","2142.002mil","3266mil","2142mil","3299.464mil","2142.002mil","T","180.00",""
"R22","3-0603","3460.252mil","2062.724mil","3460.252mil","2062.724mil","3460.252mil","2096.188mil","B","270.00",""
"R23","3-0603","3081.236mil","2102.906mil","3081.236mil","2102.905mil","3114.7mil","2102.906mil","B","180.00",""
"R24","3-0603","1136mil","2704.464mil","1136mil","2704.464mil","1136mil","2671mil","T","90.00",""
"R25","3-0603","1078mil","2704.464mil","1077.999mil","2704.464mil","1078mil","2671mil","T","90.00",""
"R26","3-0603","900.464mil","2729mil","900.464mil","2729mil","867mil","2729mil","T","360.00",""
"R27","3-0603","900.464mil","2787mil","900.464mil","2787.001mil","867mil","2787mil","T","360.00",""
"R28","3-0603","890.536mil","2517.11mil","890.537mil","2517.11mil","857.072mil","2517.11mil","T","360.00",""
"R29","3-0603","890.536mil","2458.056mil","890.537mil","2458.055mil","857.072mil","2458.056mil","T","360.00",""
"R30","3-0603","890.536mil","2399mil","890.537mil","2399mil","857.072mil","2399mil","T","360.00",""
"R31","3-0603","890.536mil","2339.946mil","890.537mil","2339.945mil","857.072mil","2339.946mil","T","360.00",""
"R32","3-0603","890.536mil","2280.888mil","890.537mil","2280.89mil","857.072mil","2280.888mil","T","360.00",""
"R33","3-0603","890.536mil","2221.834mil","890.537mil","2221.835mil","857.072mil","2221.834mil","T","360.00",""
"R34","3-0603","890.536mil","2162.778mil","890.537mil","2162.78mil","857.072mil","2162.778mil","T","360.00",""
"R35","3-0603","890.538mil","2103.722mil","890.537mil","2103.724mil","857.074mil","2103.722mil","T","360.00",""
"R36","3-0603","890.536mil","2044.67mil","890.537mil","2044.669mil","857.072mil","2044.67mil","T","360.00",""
"R37","3-0603","890.536mil","2576.166mil","890.537mil","2576.165mil","857.072mil","2576.166mil","T","360.00",""
"R38","3-0603","1649mil","2036mil","1649mil","2036mil","1649mil","2002.536mil","T","90.00",""
"R39","3-0603","1709.348mil","2036.04mil","1709.347mil","2036.039mil","1709.348mil","2002.576mil","T","90.00",""
"R40","3-0603","2251.944mil","1902mil","2251.945mil","1902mil","2251.944mil","1868.536mil","T","90.00",""
"R41","3-0603","2798.835mil","1814.692mil","2798.835mil","1814.693mil","2832.3mil","1814.692mil","T","180.00",""
"R42","3-0603","2798.835mil","1755.638mil","2798.835mil","1755.638mil","2832.3mil","1755.638mil","T","180.00",""
"R43","3-0603","2452.379mil","1814.692mil","2452.378mil","1814.693mil","2418.914mil","1814.692mil","T","360.00",""
"R44","3-0603","3168.914mil","2007.605mil","3168.913mil","2007.606mil","3168.914mil","2041.07mil","B","270.00",""
"R45","3-0603","3109.86mil","2007.605mil","3109.858mil","2007.606mil","3109.86mil","2041.07mil","B","270.00",""
"R46","3-0603","2290.96mil","1920.991mil","2290.961mil","1920.992mil","2290.96mil","1954.456mil","B","270.00",""
"R47","3-0603","2201.474mil","1920.991mil","2201.473mil","1920.991mil","2201.474mil","1954.456mil","B","270.00",""
"R48","3-0603","2350.016mil","1798.945mil","2350.016mil","1798.945mil","2350.016mil","1832.41mil","B","270.00",""
"R49","3-0603","2527.182mil","1861.937mil","2527.181mil","1861.937mil","2527.182mil","1895.402mil","B","270.00",""
"R50","3-0603","2437.694mil","1861.937mil","2437.692mil","1861.937mil","2437.694mil","1895.402mil","B","270.00",""
"R51","3-0603","2579mil","1660.999mil","2579mil","1661mil","2579mil","1694.464mil","B","270.00",""
"R52","3-0603","4861mil","924.001mil","4861mil","924mil","4861mil","890.536mil","T","90.00",""
"R53","3-0603","4828.001mil","795mil","4828mil","795mil","4861.466mil","795mil","T","180.00",""
"R54","3-0603","4718.779mil","1507.606mil","4718.779mil","1507.607mil","4685.314mil","1507.606mil","T","360.00",""
"R55","3-0603","4495mil","1564.001mil","4495mil","1564mil","4495mil","1530.536mil","T","90.00",""
"R56","3-0603","3117.732mil","1661.149mil","3117.732mil","1661.15mil","3117.732mil","1694.614mil","T","270.00",""
"R57","3-0603","3781.001mil","1753mil","3781mil","1753mil","3747.536mil","1753mil","T","360.00",""
"R58","3-0603","3781.465mil","1813mil","3781.465mil","1813mil","3748mil","1813mil","T","360.00",""
"R59","3-0603","3637.416mil","2027.291mil","3637.417mil","2027.291mil","3637.416mil","2060.756mil","T","270.00",""
"R60","3-0603","3696.472mil","2027.291mil","3696.472mil","2027.291mil","3696.472mil","2060.756mil","T","270.00",""
"R61","3-0603","3578.362mil","2027.291mil","3578.362mil","2027.291mil","3578.362mil","2060.756mil","T","270.00",""
"R62","3-0603","948.44mil","1661.149mil","948.441mil","1661.15mil","948.44mil","1694.614mil","T","270.00",""
"R63","3-0603","1503.56mil","2027.291mil","1503.559mil","2027.292mil","1503.56mil","1993.826mil","T","90.00",""
"R64","3-0603","1641.354mil","1873.749mil","1641.354mil","1873.748mil","1641.354mil","1840.284mil","T","90.00",""
"R65","3-0603","1582.3mil","1873.749mil","1582.299mil","1873.748mil","1582.3mil","1840.284mil","T","90.00",""
"R66","3-0603","1444.502mil","2027.291mil","1444.504mil","2027.292mil","1444.502mil","2060.756mil","T","270.00",""
"R67","3-0603","1385.448mil","2027.291mil","1385.449mil","2027.292mil","1385.448mil","2060.756mil","T","270.00",""
"R100","3-0603","367.732mil","1087.332mil","367.732mil","1087.331mil","334.268mil","1087.332mil","T","360.00",""
"R101","3-0603","1446.472mil","1087.332mil","1446.472mil","1087.331mil","1413.008mil","1087.332mil","T","360.00",""
"R102","3-0603","745.684mil","1087.332mil","745.685mil","1087.331mil","779.148mil","1087.332mil","T","180.00",""
"R103","3-0603","1820.488mil","1087.332mil","1820.488mil","1087.331mil","1853.952mil","1087.332mil","T","180.00",""
"R104","3-0603","426.04mil","575.52mil","426.039mil","575.52mil","392.576mil","575.52mil","T","360.00",""
"R105","3-0603","497.654mil","847.174mil","497.653mil","847.174mil","531.118mil","847.174mil","T","180.00",""
"R106","3-0603","1489.78mil","575.52mil","1489.779mil","575.52mil","1456.316mil","575.52mil","T","360.00",""
"R107","3-0603","1580.33mil","847.174mil","1580.33mil","847.173mil","1613.794mil","847.174mil","T","180.00",""
"R108","3-0603","678.756mil","847.174mil","678.756mil","847.174mil","712.22mil","847.174mil","T","180.00",""
"R109","3-0603","1761.432mil","847.174mil","1761.433mil","847.173mil","1794.896mil","847.174mil","T","180.00",""
"R110","3-0603","332.3mil","992.844mil","332.299mil","992.843mil","332.3mil","1026.308mil","T","270.00",""
"R111","3-0603","1414.976mil","992.842mil","1414.976mil","992.843mil","1414.976mil","1026.306mil","T","270.00",""
"R112","3-0603","781.118mil","984.968mil","781.118mil","984.969mil","781.118mil","1018.432mil","T","270.00",""
"R113","3-0603","1855.922mil","984.968mil","1855.921mil","984.969mil","1855.922mil","1018.432mil","T","270.00",""
"R114","3-0603","737.812mil","575.52mil","737.811mil","575.52mil","771.276mil","575.52mil","T","180.00",""
"R115","3-0603","1812.614mil","575.52mil","1812.614mil","575.52mil","1846.078mil","575.52mil","T","180.00",""
"R116","3-0603","907.102mil","1087.33mil","907.102mil","1087.331mil","873.638mil","1087.33mil","T","360.00",""
"R117","3-0603","1997.654mil","1087.33mil","1997.653mil","1087.331mil","1964.19mil","1087.33mil","T","360.00",""
"R118","3-0603","1285.056mil","1087.33mil","1285.055mil","1087.331mil","1318.52mil","1087.33mil","T","180.00",""
"R119","3-0603","2375.606mil","1087.332mil","2375.606mil","1087.331mil","2409.07mil","1087.332mil","T","180.00",""
"R120","3-0603","958.284mil","575.518mil","958.283mil","575.52mil","924.82mil","575.518mil","T","360.00",""
"R121","3-0603","1037.024mil","847.174mil","1037.023mil","847.173mil","1070.488mil","847.174mil","T","180.00",""
"R122","3-0603","2037.024mil","575.518mil","2037.023mil","575.52mil","2003.56mil","575.518mil","T","360.00",""
"R123","3-0603","2123.638mil","847.174mil","2123.637mil","847.173mil","2157.102mil","847.174mil","T","180.00",""
"R124","3-0603","1218.126mil","847.174mil","1218.126mil","847.173mil","1251.59mil","847.174mil","T","180.00",""
"R125","3-0603","2304.74mil","847.174mil","2304.74mil","847.173mil","2338.204mil","847.174mil","T","180.00",""
