"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C134","8-1206","3050.646mil","819.26mil","3050.646mil","819.26mil","3050.646mil","764.142mil","T","90.00",""
"C135","8-1206","3605.802mil","818.276mil","3605.803mil","818.276mil","3605.802mil","763.158mil","T","90.00",""
"C136","8-1206","4152.032mil","818.698mil","4152.031mil","818.701mil","4152.032mil","763.58mil","T","90.00",""
"C138","2-0402","3172.692mil","929.495mil","3172.693mil","929.496mil","3172.692mil","903.904mil","T","90.00",""
"C139","2-0402","3715.054mil","929.495mil","3715.055mil","929.496mil","3715.054mil","903.904mil","T","90.00",""
"C140","2-0402","4262.268mil","932.873mil","4262.267mil","932.874mil","4262.268mil","907.282mil","T","90.00",""
"R69","3-0603","3625.488mil","1085.992mil","3625.488mil","1085.993mil","3592.024mil","1085.992mil","T","360.00",""
"R71","3-0603","3998.52mil","1086.978mil","3998.519mil","1086.976mil","4031.984mil","1086.978mil","T","180.00",""
"R79","3-0603","3590.054mil","987.568mil","3590.055mil","987.567mil","3590.054mil","1021.032mil","T","270.00",""
"R81","3-0603","4033.952mil","988.552mil","4033.953mil","988.551mil","4033.952mil","1022.016mil","T","270.00",""
"R84","3-0603","3075.252mil","1085.994mil","3075.251mil","1085.993mil","3041.788mil","1085.994mil","T","360.00",""
"R85","3-0603","4169.946mil","1085.946mil","4169.946mil","1085.945mil","4136.482mil","1085.946mil","T","360.00",""
"R86","3-0603","3456.158mil","1086.978mil","3456.157mil","1086.976mil","3489.622mil","1086.978mil","T","180.00",""
"R87","3-0603","4545.73mil","1084.448mil","4545.731mil","1084.449mil","4579.194mil","1084.448mil","T","180.00",""
"R94","3-0603","3039.818mil","987.568mil","3039.818mil","987.567mil","3039.818mil","1021.032mil","T","270.00",""
"R95","3-0603","4136.284mil","986.024mil","4136.284mil","986.025mil","4136.284mil","1019.488mil","T","270.00",""
"R96","3-0603","3491.59mil","988.55mil","3491.59mil","988.551mil","3491.59mil","1022.014mil","T","270.00",""
"R97","3-0603","4581.164mil","982.086mil","4581.164mil","982.087mil","4581.164mil","1015.55mil","T","270.00",""
"TP67","TP","3758.364mil","575.166mil","3758.362mil","575.165mil","3758.364mil","575.166mil","T","0.00","TP"
"TP69","TP","3896.158mil","575.166mil","3896.157mil","575.165mil","3896.158mil","575.166mil","T","0.00","TP"
"TP70","TP","3223.874mil","575.164mil","3223.874mil","575.165mil","3223.874mil","575.164mil","T","0.00","TP"
"TP71","TP","4297.702mil","574.604mil","4297.701mil","574.606mil","4297.702mil","574.604mil","T","0.00","TP"
"TP72","TP","3345.92mil","575.164mil","3345.921mil","575.165mil","3345.92mil","575.164mil","T","0.00","TP"
"TP73","TP","4431.56mil","574.604mil","4431.559mil","574.606mil","4431.56mil","574.604mil","T","0.00","TP"
"U8","MLP-6-LEAD-3X3mm","1383.937mil","2697.489mil","1439.055mil","2734.89mil","1439.056mil","2660.086mil","T","270.00","FAN2012"
"U2","PTN78000W","3793.42mil","2518.57mil","4105.921mil","2331.071mil","4105.92mil","2331.07mil","T","180.00","PTN78000W"
"U20","QFN50P1200X1200-64V1L-MOD","1263.401mil","1645.401mil","1263.402mil","1645.402mil","1411.04mil","1876.7mil","T","270.00","CS42448"
"U19","QFN50P1200X1200-64V1L-MOD","3432.693mil","1645.401mil","3432.693mil","1645.402mil","3580.33mil","1876.7mil","T","270.00","CS42448"
"U16","NC7NZ34","2617.732mil","1791.071mil","2617.732mil","1791.071mil","2564.582mil","1820.598mil","T","270.00","NC7NZ34"
"C79","AL_ELEC_SMD_B","983mil","1327mil","983mil","1327mil","1038.118mil","1327mil","T","360.00","Cap Pol1"
"U5","QFN-124","2210.252mil","2316.662mil","2397.26mil","2503.669mil","2397.26mil","2503.67mil","T","270.00","XS1_L2_124QFN"
"C13","3-0603","2101.984mil","2022.292mil","2101.984mil","2022.291mil","2101.984mil","1988.828mil","T","90.00",""

